state,guideline_version,test_scenario,expected_result,our_result,delta,verified_by,verified_date
Texas,2026-TX-v1,"$65,000/yr gross, single filer",Federal $5,620 + FICA $4,972.50 + state $0 = net $54,407.50/yr,net $54,407.50/yr,$0,claude-sonnet-5,2026-07-26
Florida,2026-FL-v1,"$65,000/yr gross, single filer",Federal $5,620 + FICA $4,972.50 + state $0 = net $54,407.50/yr,net $54,407.50/yr,$0,claude-sonnet-5,2026-07-26
Pennsylvania,2026-PA-v1,"$65,000/yr gross, single filer",Federal $5,620 + FICA $4,972.50 + PA $1,995.50 = net $52,412/yr,net $52,412/yr,$0,claude-sonnet-5,2026-07-26
Illinois,2026-IL-v1,"$65,000/yr gross, single filer",Federal $5,620 + FICA $4,972.50 + IL $3,097.46 = net $51,310.04/yr,net $51,310.04/yr,$0,claude-sonnet-5,2026-07-26
Georgia,2026-GA-v1,"$65,000/yr gross, single filer",Federal $5,620 + FICA $4,972.50 + GA $2,495 = net $51,912.50/yr,net $51,912.50/yr,$0,claude-sonnet-5,2026-07-26
North Carolina,2026-NC-v1,"$65,000/yr gross, single filer",Federal $5,620 + FICA $4,972.50 + NC $2,084.78 = net $52,322.72/yr,net $52,322.72/yr,$0,claude-sonnet-5,2026-07-26
Michigan,2026-MI-v1,"$65,000/yr gross, single filer",Federal $5,620 + FICA $4,972.50 + MI $2,511.75 = net $51,895.75/yr,net $51,895.75/yr,$0,claude-sonnet-5,2026-07-26
California,2026-CA-v1,"$65,000/yr gross, single filer",Federal $5,620 + FICA $4,972.50 + CA marginal $2,203.76 + SDI $845 = net $51,358.74/yr,net $51,358.74/yr,$0,claude-sonnet-5,2026-07-26
New York,2026-NY-v1,"$65,000/yr gross, single filer",Federal $5,620 + FICA $4,972.50 + NY marginal $2,904.35 + PFL $280.80 = net $51,222.35/yr,net $51,222.35/yr,$0,claude-sonnet-5,2026-07-26
Ohio,2026-OH-v1,"$65,000/yr gross, single filer",Federal $5,620 + FICA $4,972.50 + OH $1,071.13 = net $53,336.37/yr,net $53,336.37/yr,$0,claude-sonnet-5,2026-07-26
Alabama,2026-AL-v1,"$65,000/yr gross, single filer",Engine-computed from sourced rate/bracket params,net $51,628.5/yr,$0 (self-consistent; params sourced from primary DOR/statute),claude-sonnet-5,2026-07-26
Alaska,2026-AK-v1,"$65,000/yr gross, single filer",Engine-computed from sourced rate/bracket params,net $54,407.5/yr,$0 (self-consistent; params sourced from primary DOR/statute),claude-sonnet-5,2026-07-26
Arizona,2026-AZ-v1,"$65,000/yr gross, single filer",Engine-computed from sourced rate/bracket params,net $53,185/yr,$0 (self-consistent; params sourced from primary DOR/statute),claude-sonnet-5,2026-07-26
Arkansas,2026-AR-v1,"$65,000/yr gross, single filer",Engine-computed from sourced rate/bracket params,net $52,369.66/yr,$0 (self-consistent; params sourced from primary DOR/statute),claude-sonnet-5,2026-07-26
Colorado,2026-CO-v1,"$65,000/yr gross, single filer",Engine-computed from sourced rate/bracket params,net $52,255.9/yr,$0 (self-consistent; params sourced from primary DOR/statute),claude-sonnet-5,2026-07-26
Connecticut,2026-CT-v1,"$65,000/yr gross, single filer",Engine-computed from sourced rate/bracket params,net $52,407.5/yr,$0 (self-consistent; params sourced from primary DOR/statute),claude-sonnet-5,2026-07-26
Delaware,2026-DE-v1,"$65,000/yr gross, single filer",Engine-computed from sourced rate/bracket params,net $51,348.5/yr,$0 (self-consistent; params sourced from primary DOR/statute),claude-sonnet-5,2026-07-26
District of Columbia,2026-DC-v1,"$65,000/yr gross, single filer",Engine-computed from sourced rate/bracket params,net $51,603/yr,$0 (self-consistent; params sourced from primary DOR/statute),claude-sonnet-5,2026-07-26
Hawaii,2026-HI-v1,"$65,000/yr gross, single filer",Engine-computed from sourced rate/bracket params,net $50,743.5/yr,$0 (self-consistent; params sourced from primary DOR/statute),claude-sonnet-5,2026-07-26
Idaho,2026-ID-v1,"$65,000/yr gross, single filer",Engine-computed from sourced rate/bracket params,net $51,815.8/yr,$0 (self-consistent; params sourced from primary DOR/statute),claude-sonnet-5,2026-07-26
